State,Violent Crime Rate,Violent Crime Incidents
District of Columbia,999.8 per 100k,"7,127"
Alaska,837.8 per 100k,"6,126"
New Mexico,778.3 per 100k,"16,393"
Tennessee,672.7 per 100k,"46,328"
Arkansas,671.9 per 100k,"20,363"
Arizona,654.8 per 100k,"35,980"
Louisiana,639.4 per 100k,"29,704"
Missouri,542.7 per 100k,"33,385"
South Carolina,530.7 per 100k,"27,691"
South Dakota,501.4 per 100k,"4,476"
Michigan,478 per 100k,"47,641"
Montana,469.8 per 100k,"5,077"
Nevada,460.3 per 100k,"14,445"
Oklahoma,458.6 per 100k,"18,255"
Alabama,453.6 per 100k,"22,322"
Texas,446.5 per 100k,"131,084"
California,442 per 100k,"174,026"
Delaware,431.9 per 100k,"4,262"
Illinois,425.9 per 100k,"53,612"
Kansas,425 per 100k,"12,835"
Colorado,423.1 per 100k,"24,570"
North Carolina,419.3 per 100k,"44,451"
Georgia,400.1 per 100k,"42,850"
Maryland,399.9 per 100k,"24,215"
Pennsylvania,389.5 per 100k,"49,793"
Florida,383.6 per 100k,"83,368"
New York,363.8 per 100k,"70,339"
Indiana,357.7 per 100k,"24,161"
West Virginia,355.9 per 100k,"6,352"
Nebraska,334.1 per 100k,"6,473"
North Dakota,329 per 100k,"2,518"
Wisconsin,323.4 per 100k,"18,861"
Massachusetts,308.8 per 100k,"21,288"
Ohio,308.8 per 100k,"36,104"
Iowa,303.5 per 100k,"9,601"
Washington,293.7 per 100k,"22,596"
Oregon,291.9 per 100k,"12,380"
Mississippi,291.2 per 100k,"8,638"
Minnesota,277.5 per 100k,"15,698"
Utah,260.7 per 100k,"8,471"
Kentucky,259.1 per 100k,"11,600"
Hawaii,254.2 per 100k,"3,576"
Idaho,242.6 per 100k,"4,432"
Wyoming,234.2 per 100k,"1,364"
Rhode Island,230.8 per 100k,"2,440"
Virginia,208 per 100k,"17,925"
New Jersey,195.4 per 100k,"17,353"
Connecticut,181.6 per 100k,"6,459"
Vermont,173.4 per 100k,"1,081"
Puerto Rico,164.5 per 100k,"5,196"
New Hampshire,146.4 per 100k,"2,000"
Maine,108.6 per 100k,"1,466"
